"Name","Hometown","Position","Stars","Grade","School"
"Lamar LouisVideo | Scouts Report","Breaux Bridge, LABreaux Bridge High School","#20 ATH","","80","Signed04/05/2011"
"Kwontie MooreVideo | Scouts Report","Norfolk, VANorfolk Academy","#7 ILB","","80","Signed05/12/2011"
"Dan VoltzVideo | Scouts Report","Barrington, ILBarrington High School","#19 OT","","80","Signed03/15/2011"
"Darreus RogersVideo | Scouts Report","Carson, CACarson High School","#30 WR","","80","Signed01/06/2011"
"James Burgess Jr.Video | Scouts Report","Homestead, FLHomestead Senior High School","#17 OLB","","80","Signed01/03/2012"
"Javonte MageeVideo | Scouts Report","San Antonio, TXSam Houston High School","#20 DT","","80","Signed01/13/2012"
"Maty MaukVideo | Scouts Report","Kenton, OHKenton High School","#16 QB","","80","Signed07/07/2011"
"Jody FullerVideo | Scouts Report","Monroe, NCSun Valley High School","#31 WR","","80","Signed07/08/2011"
"D.J. FosterVideo | Scouts Report","Scottsdale, AZSaguaro High School","#21 ATH","","80","Signed01/27/2012"
"Devin FunchessVideo | Scouts Report","Farmington Hills, MIHarrison High School","#5 TE","","80","Signed04/22/2011"
"Brian NanceVideo | Scouts Report","Euless, TXTrinity High School","#18 OLB","","80","Signed01/07/2012"
"James RossVideo | Scouts Report","Orchard Lake, MISaint Mary's Prep School","#8 ILB","","80","Signed05/02/2011"
"Mike MadarasVideo | Scouts Report","Olney, MDOur Lady of Good Counsel High School","#20 OT","","80","Signed03/10/2011"
"Francis KallonVideo | Scouts Report","Lawrenceville, GACentral Gwinnett High School","#19 DE","","80","Signed06/06/2011"
"Todd GurleyVideo | Scouts Report","Tarboro, NCTarboro High School","#22 ATH","","80","Signed01/13/2012"
"Jamel HarbisonVideo | Scouts Report","Charlotte, NCMallard Creek High School","#32 WR","","80","Signed09/11/2011"
"Paul BoyetteVideo | Scouts Report","Humble, TXHumble High School","#21 DT","","80","Signed02/26/2011"
"Jarrod WilsonVideo | Scouts Report","Akron, OHAkron Buchtel High School","#13 S","","80","Signed07/08/2011"
"Jeff LindquistVideo | Scouts Report","Mercer Island, WAMercer Island High School","#17 QB","","80","Signed04/29/2011"
"Jeremiah BriscoeVideo | Scouts Report","Houston, TXStratford High School","#18 QB","","80","List"
"Sean PriceVideo | Scouts Report","Citra, FLNorth Marion High School","#6 TE","","80","Signed06/24/2011"
"Hassan RidgewayVideo | Scouts Report","Mansfield, TXMansfield High School","#20 DE","","80","Signed02/16/2011"
"Kaiwan LewisVideo | Scouts Report","Hammonton, NJSaint Joseph High School","#9 ILB","","80","Signed07/29/2011"
"Michael RichardsonVideo | Scouts Report","DeSoto, TXDeSoto High School","#21 DE","","80","Signed02/18/2011"
"Greg GarmonVideo | Scouts Report","Erie, PAMcDowell High School","#23 ATH","","80","Signed01/03/2011"
"Robert LewisVideo | Scouts Report","South Gate, CASouth East High School","#12 RB","","80","Signed01/18/2012"
"T.J. DavisVideo | Scouts Report","Tallahassee, FLGodby High School","#14 CB","","80","Signed08/23/2011"
"Kwinton SmithVideo | Scouts Report","Dillon, SCDillon High School","#33 WR","","80","Signed07/06/2011"
"Armani ReevesVideo | Scouts Report","West Roxbury, MACatholic Memorial High School","#24 ATH","","80","Signed01/29/2012"
"Justin MeredithVideo | Scouts Report","Anderson, SCT. L. Hanna High School","#7 TE","","80","Signed12/10/2011"
"Demitrious DavisVideo | Scouts Report","Youngstown, OHAustintown Fitch High School","#25 ATH","","80","Signed07/24/2011"
"Skyler MornhinwegVideo | Scouts Report","Philadelphia, PASaint Joseph's Prep School","#19 QB","","80","Signed01/29/2012"
"Evan GoodmanVideo | Scouts Report","Lakeland, FLLakeland High School","#21 OT","","80","Signed08/02/2011"
"Quinteze WilliamsVideo | Scouts Report","Tyrone, GASandy Creek High School","#22 DT","","80","Signed03/30/2011"
"Eugene LewisVideo | Scouts Report","Plymouth, PAWyoming Valley West High School","#34 WR","","80","Signed08/10/2011"
"Orlando ThomasVideo | Scouts Report","Copperas Cove, TXCopperas Cove High School","#26 ATH","","80","Signed02/13/2011"
"Denzel DevallVideo | Scouts Report","Bastrop, LABastrop High School","#22 DE","","80","Signed12/08/2011"
"Khalid HendersonVideo | Scouts Report","Austell, GAPebblebrook High School","#19 OLB","","80","Signed02/01/2012"
"Elijah ShumateVideo | Scouts Report","Ramsey, NJDon Bosco High School","#14 S","","80","Signed01/07/2012"
"Dwayne Stanford IIVideo | Scouts Report","Cincinnati, OHRobert A. Taft High School","#35 WR","","80","Signed11/22/2011"
"Bri'onte DunnVideo | Scouts Report","Canton, OHGlenOak High School","#13 RB","","80","Signed09/27/2010"
"Jeremy HillVideo | Scouts Report","Baton Rouge, LARedemptorist High School","RB(LQ)","","80","Signed01/20/2012"
"Ken EkanemVideo | Scouts Report","Clifton, VACentreville High School","#20 OLB","","80","Signed02/01/2012"
"Demetrius DeanVideo | Scouts Report","Fayetteville, ARFayetteville High School","TE(LQ)","","80","Signed"
"Neal BurchamVideo | Scouts Report","Greenbrier, ARGreenbrier High School","#20 QB","","80","Signed11/02/2011"
"Jordan MooreVideo | Scouts Report","Lithonia, GAMartin Luther King High School","#15 S","","80","Signed01/31/2012"
"Monty MadarisVideo | Scouts Report","Cincinnati, OHMoeller High School","#36 WR","","80","Signed01/29/2012"
"Davon JacobsVideo | Scouts Report","Wayne, NJDePaul Catholic High School","#27 ATH","","80","Signed06/30/2011"
"Nick JamesVideo | Scouts Report","Long Beach, MSLong Beach High School","#23 DT","","80","Signed08/02/2011"
"Mario OjemudiaVideo | Scouts Report","Farmington Hills, MIHarrison High School","#23 DE","","80","Signed05/07/2011"
