Rank,Full name,Last Name,First Name,Position,Grade
380,Jordan Jones,Jones,Jordan,WR,80
381,Daniel Crowell,Crowell,Daniel,WR,80
382,Carlo Kemp,Kemp,Carlo,DE,80
383,Willie Baker,Baker,Willie,DE,80
384,Chazz Surratt,Surratt,Chazz,ATH,80
385,Steffon McKnight,McKnight,Steffon,WR,80
386,Denzel Mitchell,Mitchell,Denzel,RB,80
387,T.J. Vasher,Vasher,T.J.,WR,80
388,Tavares Chase,Chase,Tavares,WR,80
389,Malik Miller,Miller,Malik,FB,80
390,Gunnar Hoak,Hoak,Gunnar,QB,80
391,Gabe Angel,Angel,Gabe,TE,80
392,Stewart Reese,Reese,Stewart,OT,80
393,Tre Turner,Turner,Tre,RB,80
394,Eric Kumah,Kumah,Eric,WR,80
395,Mike Panasiuk,Panasiuk,Mike,DT,80
396,Tyrell Chavis,Chavis,Tyrell,DT,80
397,Darian Owens,Owens,Darian,WR,80
398,Simi Fehoko,Fehoko,Simi,WR,80
399,Thaddeus Moss,Moss,Thaddeus,TE,80
400,Elysee Mbem-Bosse,Mbem-Bosse,Elysee,ILB,80
401,Desmond Fitzpatrick,Fitzpatrick,Desmond,WR,80
402,Armani Rogers,Rogers,Armani,QB,80
403,Patrice Rene,Rene,Patrice,CB,80
404,Logan Byrd,Byrd,Logan,QB,80
405,P.J. Blue,Blue,P.J.,OLB,80
406,Xavier Gaines,Gaines,Xavier,QB,80
407,Joshua Brown,Brown,Joshua,OLB,80
408,Javon Kinlaw,Kinlaw,Javon,OT,80
409,Irvin Smith,Smith,Irvin,TE,80
410,Obi Eboh,Eboh,Obi,S,80
411,Greg Eisworth,Eisworth,Greg,ATH,80
412,Tate Leavitt,Leavitt,Tate,OT,80
413,Amani Bledsoe,Bledsoe,Amani,DE,80
414,Khalil Ladler,Ladler,Khalil,CB,80
415,Thiyo Lukusa,Lukusa,Thiyo,OT,80
416,Cole Kelley,Kelley,Cole,QB,80
417,Jalen Hurts,Hurts,Jalen,QB,80
418,Seth Dawkins,Dawkins,Seth,WR,80
419,Taylor Rapp,Rapp,Taylor,S,80
420,Korey Charles,Charles,Korey,RB,80
421,Matt Lynch,Lynch,Matt,QB,80
422,Tyrell Alexander,Alexander,Tyrell,ATH,80
423,Malik Barrow,Barrow,Malik,DT,80
424,Emmett Rice,Rice,Emmett,OLB,80
425,J.C. Chalk,Chalk,J.C.,TE,80
426,Damion Dickens,Dickens,Damion,DE,80
427,Nero Nelson,Nelson,Nero,ATH,80
428,Nick Starkel,Starkel,Nick,QB,80
429,Kyree Campbell,Campbell,Kyree,DT,80
430,Eric Burrell,Burrell,Eric,S,80
431,Daquan Newkirk,Newkirk,Daquan,DE,80
432,Branton Autry,Autry,Branton,OG,80
433,Jamal Couch,Couch,Jamal,OLB,80
434,Brodarious Hamm,Hamm,Brodarious,OG,80
435,Matt Falcon,Falcon,Matt,RB,80
436,Thomas Jones,Jones,Thomas,S,80
437,Marvin Terry,Terry,Marvin,OLB,80
438,Josh Dunn,Dunn,Josh,S,80
439,Darrian Franklin,Franklin,Darrian,OLB,80
440,Stephen Davis Jr.,Davis Jr.,Stephen,S,80
441,Jachai Polite,Polite,Jachai,DE,80
442,Sean McGrew,McGrew,Sean,RB,80
